Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
87,"G. Cusumano","The palermo swift-BAT hard X-ray catalogue II. Results after 39 months of sky survey",2010,"Astronomy and Astrophysics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952239178&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952239178&origin=inward",1,"2025-01-07 12:13:02","Article","10.1051/0004-6361/200811184","0004-6361","https://api.elsevier.com/content/abstract/scopus_id/79952239178",510,1,,,87,5.80,87,1,15,"","",""
82,"H.M. Ter Hofstede","Evolutionary escalation: The bat-moth arms race",2016,"Journal of Experimental Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84982951911&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982951911&origin=inward",2,"2025-01-07 12:13:02","Review","10.1242/jeb.086686","0022-0949","https://api.elsevier.com/content/abstract/scopus_id/84982951911",219,11,1589,1602,82,9.11,82,1,9,"","",""
41,"R.V. Blakey","Terrestrial laser scanning reveals below-canopy bat trait relationships with forest structure",2017,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425717302468","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020003855&origin=inward",3,"2025-01-07 12:13:02","Article","10.1016/j.rse.2017.05.038","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/85020003855",198,,40,51,41,5.13,41,1,8,"","",""
36,"J.J. Rubin","The evolution of anti-bat sensory illusions in moths",2018,"Science Advances","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050143720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050143720&origin=inward",4,"2025-01-07 12:13:02","Article","10.1126/sciadv.aar7428","2375-2548","https://api.elsevier.com/content/abstract/scopus_id/85050143720",4,7,,,36,5.14,36,1,7,"","",""
35,"R.V. Blakey","Bats in a changing landscape: Linking occupancy and traits of a diverse montane bat community to fire regime",2019,"Ecology and Evolution","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065471504&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065471504&origin=inward",5,"2025-01-07 12:13:02","Article","10.1002/ece3.5121","2045-7758","https://api.elsevier.com/content/abstract/scopus_id/85065471504",9,9,5324,5337,35,5.83,35,1,6,"","",""
27,"A. Winter","Skin and fur bacterial diversity and community structure on American southwestern bats: Effects of habitat, geography and bat traits",2017,"PeerJ","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032179254&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032179254&origin=inward",6,"2025-01-07 12:13:02","Article","10.7717/peerj.3944","2167-8359","https://api.elsevier.com/content/abstract/scopus_id/85032179254",2017,10,,,27,3.38,27,1,8,"","",""
19,"V. Zamora-Gutierrez","Vulnerability of bat–plant pollination interactions due to environmental change",2021,"Global Change Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104143577&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104143577&origin=inward",7,"2025-01-07 12:13:02","Article","10.1111/gcb.15611","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/85104143577",27,14,3367,3382,19,4.75,19,1,4,"","",""
19,"I. Conenna","Global patterns of functional trait variation along aridity gradients in bats",2021,"Global Ecology and Biogeography","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102187720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102187720&origin=inward",8,"2025-01-07 12:13:02","Article","10.1111/geb.13278","1466-822X","https://api.elsevier.com/content/abstract/scopus_id/85102187720",30,5,1014,1029,19,4.75,19,1,4,"","",""
17,"D. Castillo-Figueroa","On the development of a trait-based approach for studying neotropical bats",2021,"Papeis Avulsos de Zoologia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104986355&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104986355&origin=inward",9,"2025-01-07 12:13:02","Article","10.11606/1807-0205/2021.61.24","0031-1049","https://api.elsevier.com/content/abstract/scopus_id/85104986355",61,,,,17,4.25,17,1,4,"","",""
12,"J.P. Schmidt","Ecological indicators of mammal exposure to Ebolavirus",2019,"Philosophical Transactions of the Royal Society B: Biological Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071280692&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071280692&origin=inward",10,"2025-01-07 12:13:02","Article","10.1098/rstb.2018.0337","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/85071280692",374,1782,,,12,2.00,12,1,6,"","",""
