trait_type,complex_or_functional_dimension,label,times_represented,represented_in,first_represented_in,type,allowed_values_levels,units,allowed_values_min,allowed_values_max,description
Morphological,Size,Body mass,24,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Froidevaux_2023, Myhrvold_2015, Gonçalvez_2018, Tanalgo_2022, Herberstein_2022, Laurindo_2020, Barbaro_2019, Farneda_2018, Monadjem_2018, Pereira_2018, Presley_2018, Scheiner_2017, Briones-Salas_2017, García-Morales_2016, Charbonnier_2016, Farneda_2015, Cisneros_2014, Hanspach_2012, Carrasco-Rueda_2020, Pereira_2019, Coelho_2018",Castillo-Figueroa_2021,numeric,.na,g,NA,NA,Based on weight
Morphological,Size,biomass,1,Lucho_2017,Lucho_2017,numeric,.na,g,NA,NA,% B = Contribution of species to total Biomass
Morphological,Size,female_body_mass_g,2,"Myhrvold_2015, Wilkinson_2002",Myhrvold_2015,numeric,.na,Grams,NA,NA,Body mass of female adults.
Morphological,Size,male_body_mass_g,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Grams,NA,NA,Body mass of male adults.
Morphological,Size,no_sex_body_mass_g,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Grams,NA,NA,Body mass of unspecified adults.
Morphological,Size,original body mass,1,Herberstein_2022,Herberstein_2022,numeric,.na,NA,NA,NA,Unstandardised mass or weight value from source document
Morphological,Size,Total length,7,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Myhrvold_2015, Gonçalvez_2018, Reardon_2017, Lucho_2017",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"Measurement from the tail (if any) to the head (tail + body + head). If 
there is no tail, the measurement encompasses the lower end of the body to 
the head"
Morphological,Size,no_sex_svl_cm,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Centimeters,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for unspecified adults.
Morphological,Size,Head body length (F/M/U),1,Cosentino_2023,Cosentino_2023,numeric,.na,mm,NA,NA,The length from tip of nose to anus
Morphological,Size,male_svl_cm,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Centimeters,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for male adults.
Morphological,Size,female_svl_cm,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Centimeters,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for female adults.
Morphological,Size,Forearm length,20,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Froidevaux_2023, Gonçalvez_2018, Stevens_2018, Pereira_2018, Presley_2018, Reardon_2017, Scheiner_2017, Briones-Salas_2017, Wordley_2017, García-Morales_2016, Cisneros_2014, Stevens_2014, Stevens_2013, Hanspach_2012, Lucho_2017, Carrasco-Rueda_2020, Pereira_2019",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"Measurement from the base of the elbow (tip of the olecranon process) to 
the distal region of the forearm where it joins the carpus"
Morphological,Size,Sexual dimorphism in size,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Presence of sexual dimorphism in size
Morphological,Wings,Length of the third digit,2,"Castillo-Figueroa_2021, Froidevaux_2023",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"In biological collections the trait is the result of the sum of the 
metacarpus and its three phalanges. The metacarpus is measured from the 
joint with the phalanx to the junction with the carpus. The phalanx is 
measured as the maximum distance between the joints. In the field, the 
trait is measured from the junction of the metacarpus with the carpus to 
the tip of the third phalanx"
Morphological,Wings,Length of the fifth digit,2,"Castillo-Figueroa_2021, Froidevaux_2023",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"In biological collections the trait is the result of the sum of the 
metacarpus and its two phalanges. The metacarpus is measured from the joint 
with the phalanx to the junction with the carpus. The phalanx is measured 
as the maximum distance between the joints. In the field, it is measured 
from the junction of the metacarpus with the carps to the tip of the second 
phalanx"
Morphological,Wings,Wing loading,14,"Castillo-Figueroa_2021, Cosentino_2023, Froidevaux_2023, Crane_2022, Monadjem_2018, Pereira_2018, Presley_2018, Scheiner_2017, García-Morales_2016, Cisneros_2014, Hanspach_2012, Fukui_2009, Carrasco-Rueda_2020, Pereira_2019",Castillo-Figueroa_2021,numeric,.na,Newtons/m2,NA,NA,"Wing loading (Wl) is body mass in kg times acceleration of gravity (Mg) 
divided by its wing area in m2 (S); *gravity acceleration = 9.8 m/s2; Wl = 
Mg/S (N/m2)"
Morphological,Wings,total_wing_loading,1,Crane_2022,Crane_2022,numeric,.na,Nm−2,NA,NA,Body weight divided by lifting_surface_area
Morphological,Wings,relative_partial_loading,4,"Crane_2022, Farneda_2018, Wordley_2017, Farneda_2015",Crane_2022,numeric,.na,.na,NA,NA,"partial_wing_loading divided by body mass raised to the 1/3 power. Body mass, not weight should be used"
Morphological,Wings,relative_total_loading,1,Crane_2022,Crane_2022,numeric,.na,.na,NA,NA,"total_wing_loading divided by body mass raised to 1/3. Body mass, not weight should be used"
Morphological,Wings,Aspect ratio,19,"Castillo-Figueroa_2021, Cosentino_2023, Froidevaux_2023, Crane_2022, Laurindo_2020, Farneda_2018, Monadjem_2018, Pereira_2018, Presley_2018, Scheiner_2017, Wordley_2017, García-Morales_2016, Farneda_2015, Cisneros_2014, Hanspach_2012, Fukui_2009, Carrasco-Rueda_2020, Pereira_2019, Coelho_2018",Castillo-Figueroa_2021,numeric,.na,.na,NA,NA,"Aspect ratio (A) is the result of the wing span squared (m2) (B) divided by 
wing area (m2) (S); A = B2/S"
Morphological,Wings,total_aspect_ratio,1,Crane_2022,Crane_2022,numeric,.na,.na,NA,NA,"The wingspan squared, divided by lifting_surface_area"
Morphological,Wings,Tip shape index,2,"Castillo-Figueroa_2021, Fukui_2009",Castillo-Figueroa_2021,numeric,.na,.na,NA,NA,"Tip shape index (I) is the tip area ratio (Ts) divided by tip length ratio 
(Tl) minus Ts; I = Ts/(Tl-Ts)"
Morphological,Wings,Wing span,4,"Castillo-Figueroa_2021, Cosentino_2023, Crane_2022, García-Morales_2016",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"Measurement taken from tip to tip of the extended wings held along to the 
long axis of the body"
Morphological,Wings,Wing length (F/M/U),1,Cosentino_2023,Cosentino_2023,numeric,.na,mm,NA,NA,Length of the wing
Morphological,Wings,Wing area (F/M/U),3,"Cosentino_2023, Crane_2022, García-Morales_2016",Cosentino_2023,numeric,.na,cm²,NA,NA,Area of the two wings
Morphological,Wings,lifting_surface_area,1,Crane_2022,Crane_2022,numeric,.na,cm2,NA,NA,"The total area of the patagium, uropatagium (if present), and body excluding the head"
Morphological,Wings,wing_area_rec,1,Crane_2022,Crane_2022,numeric,.na,cm2,NA,NA,The rectangular approximation of the patagium based on the wing length (measured from the edge of the body to the wing tip) multiplied by the wing width (measured from the end of the fifth digit to the tip of the fifth digit)
Morphological,Pollex,Length of the pollex without claw,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"Measurement from the beginning of the phalanx of finger to the beginning of 
the claw"
Morphological,Pollex,Length of the pollex with claw,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,"Measurement from the beginning of the phalanx of the thumb to the tip of 
the claw"
Morphological,Hindlimbs,Length of the foot without claw,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measurement from the joint with the tibia to the beginning of the claws
Morphological,Hindlimbs,length of the foot with claw,3,"Castillo-Figueroa_2021, Cosentino_2023, Lucho_2017",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measurement from the tibia joint to the tip of the claw
Morphological,Hindlimbs,Length of the tibia,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measurement from the joint with the femur to the joint with the foot
Morphological,Hindlimbs,Length of calcaneus,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measure from the base of the calcaneus to the tip of it
Morphological,Head,Length of the ear,3,"Castillo-Figueroa_2021, Reardon_2017, Lucho_2017",Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measure from the base of the ear to its most apical region
Morphological,Head,Length of tragus,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measure from the base to the tip of the structure
Morphological,Head,Length of nose leaf,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,mm,NA,NA,Measurement from the base of the nasal horseshoe to the tip of the lancet
Morphological,Head,Inner nostril width ratio,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,.na,NA,NA,Ratio of the cranial width to the inner nostril width
Morphological,Head,brain_mass_g,2,"Soria_2021, Herberstein_2022",Soria_2021,numeric,.na,g,NA,NA,Weight of the brain of an adult individual in grams
Morphological,Head,original brain size,1,Herberstein_2022,Herberstein_2022,numeric,.na,NA,NA,NA,Unstandardised brain size from source document
Morphological,Head,Inter = Narrowest breadth of skull,1,Reardon_2017,Reardon_2017,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,greatest skull length,10,"Laurindo_2020, Stevens_2018, Murillo-García_2018, Presley_2018, Reardon_2017, Scheiner_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Laurindo_2020,numeric,.na,NA,NA,NA,"Selected skull dimensions were the greatest length, braincase and zygomatic breadth. Because these tree variables are highly correlated (Appendix 3), we ran a principal component analysis (PCA) to summarize the three measurements in a unique variable (PC1)."
Morphological,Head,braincase breadth,9,"Laurindo_2020, Stevens_2018, Presley_2018, Reardon_2017, Scheiner_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Laurindo_2020,numeric,.na,NA,NA,NA,"Selected skull dimensions were the greatest length, braincase and zygomatic breadth. Because these tree variables are highly correlated (Appendix 3), we ran a principal component analysis (PCA) to summarize the three measurements in a unique variable (PC1)."
Morphological,Head,zygomatic breadth,3,"Laurindo_2020, Murillo-García_2018, Reardon_2017",Laurindo_2020,numeric,.na,NA,NA,NA,"Selected skull dimensions were the greatest length, braincase and zygomatic breadth. Because these tree variables are highly correlated (Appendix 3), we ran a principal component analysis (PCA) to summarize the three measurements in a unique variable (PC1)."
Morphological,Head,Mast = Mastoid breadth,1,Reardon_2017,Reardon_2017,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,condylobasal length,7,"Stevens_2018, Presley_2018, Scheiner_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Stevens_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,length of maxillary toothrow,8,"Stevens_2018, Murillo-García_2018, Presley_2018, Reardon_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Stevens_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,breadth of post-orbital constriction,7,"Stevens_2018, Presley_2018, Scheiner_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Stevens_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,breadth across upper molars,7,"Stevens_2018, Presley_2018, Scheiner_2017, Cisneros_2014, Stevens_2014, Stevens_2013, Carrasco-Rueda_2020",Stevens_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Postorbital Width (PW),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Posterior Skull width (PSW),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Palatal Width at canines (PW),2,"Murillo-García_2018, Reardon_2017",Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Palatal Width at first molar (PW1),2,"Murillo-García_2018, Reardon_2017",Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Total Palate Length (TPL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Anterior Skull Length (ASL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Post-Palatal length (PPL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Dentary Depth under first molar (DD),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Coronoid Process Height (CPH),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Condyle height (CH),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,CI = Condylo-incisive length,1,Reardon_2017,Reardon_2017,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Condyle to Canine bite point distance (CC),2,"Murillo-García_2018, Reardon_2017",Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Condyle to first molar point distance (Cm1),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,CM3,2,"Froidevaux_2023, Murillo-García_2018",Froidevaux_2023,numeric,.na,mm,NA,NA,Length of upper tooth row
Morphological,Head,Total Dentary Length (TDL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Condyle-Coronoid Length (CCL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Coronoid-Angular Length (CAL),1,Murillo-García_2018,Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Mandibular toothrow length (MAN),3,"Murillo-García_2018, Reardon_2017, Scheiner_2017",Murillo-García_2018,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,Mand = Mandibular length,1,Reardon_2017,Reardon_2017,numeric,.na,NA,NA,NA,Definition not specified in database; Check in article for more details
Morphological,Head,LCBLCCRatio,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Ratio condylobasal length/condylocanine length
